,ballot_number,ballot_name,sex,name,political_party,position,district
110,17,"MERQUITA, CARMELA (IND)",FEMALE,"MERQUITA, CARMELA AQUINO",INDEPENDENT,COUNCILOR,3.0
111,18,"NARAVAL, LEONARA DIGNA
(IND)",FEMALE,"NARAVAL, LEONORA DIGNA BRAGANZA",INDEPENDENT,COUNCILOR,3.0
112,19,"NARISMA, LUIS (IND)",MALE,"NARISMA, LUIS MATURAN",INDEPENDENT,COUNCILOR,3.0
113,20,"PANTIG, JETJET (IND)",MALE,"PANTIG, JUDAH AMIL",INDEPENDENT,COUNCILOR,3.0
114,21,"PLACIO, EXEQUIEL (IND)",MALE,"PLACIO, EXEQUIEL MAGANA",INDEPENDENT,COUNCILOR,3.0
115,22,"PRINCIPE, PETITE (HTL)",FEMALE,"PRINCIPE, ANTOINETTE GUERRERO","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,3.0
116,23,"SORIANO-DONATO, ROWENA
(IND)",FEMALE,"DONATO, ROWENA SORIANO",INDEPENDENT,COUNCILOR,3.0
117,24,"UNGAB, ALBERTO (HTL)",MALE,"UNGAB, ALBERTO TOM","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,3.0
118,25,"VILLAFUERTE, DOC ENZO
(PDPLBN)",MALE,"VILLAFUERTE, LORENZO BENJAMIN
DILIG","PARTIDO DEMOKRATIKO
PILIPINO LAKAS NG BAYAN",COUNCILOR,3.0
119,26,"VILLAFUERTE, DOC POTPOT
(HTL)",FEMALE,"VILLAFUERTE, TRISHA ANN JASMIN","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,3.0
120,27,"ZOZOBRADO, RACHEL (HTL)",FEMALE,"ZOZOBRADO, RACHEL PARADELA","HUGPONG SA TAWONG
LUNGSOD",COUNCILOR,3.0
